Volume(m^3),Weight(Kg),Power Consumption(kW),Airflow(CMH),Refrigerant Charge(KG),Capcity(kW)
1.6452855,360,12.65,14000,10.3,45
1.783674,360,14.2,22800,11.3,50.4
1.783674,385,16,22800,14.3,56
1.783674,385,18.5,25400,14.3,61.5
1.232625,246,4.77,10980,6,22.4
1.232625,247,6.67,10980,6,28
1.569975,290,7.25,12000,8.8,33.5
1.569975,349,8.7,12000,9.2,40
1.751625,377,12.69,17760,10.6,50
2.076,400,14.36,21000,11.5,56
2.076,401,16.62,21000,11.5,61.5
3.13995,580,14.5,24000,17.6,68
3.13995,639,15.95,24000,18,72.5
3.13995,698,17.39,24000,18.4,80
1.141074,201,4.59,10200,6.5,22.4
1.141074,201,7.57,13200,6.5,33.6
1.679194125,235,10.55,15300,7.7,40
1.679194125,266,10.92,15300,7.7,45
1.679194125,300,11.51,17400,8.4,50.4
1.679194125,300,13.05,17400,8.4,56
1.679194125,300,15.75,17400,8.4,61.6
1.679194125,360,17.1,18600,14.3,67.2
1.679194125,360,19.3,18600,14.3,72.8
1.141074,186,5,10200,5.5,22.4
1.141074,197,6.85,20200,5.5,28
1.141074,210,8.16,13200,6.5,33.6
1.679194125,239,10.93,15300,7.7,40
1.679194125,269,11.98,15300,7.7,45
1.679194125,307,17.35,17400,8.4,61.6
1.679194125,360,17.1,18600,14.3,67.2
1.679194125,360,19.3,18600,14.3,72.8
1.194492,198,4.49,14400,7.5,22.4
1.194492,215,5.8,14400,9.5,28
1.194492,215,7.58,14400,9.5,33.6
1.592656,237,8.68,19200,13.5,39.2
1.592656,237,10.89,19200,13.5,44.8
1.592656,300,10.91,19200,16,50.4
1.592656,300,12.77,19200,16,56
1.592656,300,15.7,19200,16,61.6
1.592656,310,17.4,19200,17,67.2
1.592656,310,20.2,19200,17,72.8
1.21730625,190,4.56,9900,5,22.4
1.21730625,190,5.58,10200,5,28
1.21730625,210,6.82,11400,7.2,33.5
1.55046375,268,9.66,14340,8.9,40
1.55046375,310,10.78,15360,9.9,45
1.55046375,311,11.78,15360,10.7,50
2.0502,350,12.96,19740,11.3,56
2.0502,364,15.36,19740,11.3,61.5
2.0502,365,16.32,20880,11.6,67
0.70785,170,6.29,7260,5,22.4
0.70785,170,8.31,9000,5.5,28
1.25001,210,5.8,9300,6.5,22.4
1.25001,210,7.39,10200,6.5,28
1.25001,210,9.82,10500,7,33.5
1.25001,295,13.93,11700,9,45
1.25001,315,14.84,11700,10.5,50
1.2969516,210,5.39,9900,5,22.4
1.2969516,210,7.27,10200,5,28
1.2969516,233,8.89,11400,7.2,33.5
1.6485756,332,13.85,15360,9.9,45
1.6485756,333,14.93,15360,10.7,50
2.1760116,382,18.6,19740,11.3,56
2.1760116,396,20.43,19740,11.3,61.5
1.24215,224,6.8,11000,8.5,28
1.24215,224,8.4,12000,8.5,33.5
1.24215,244,10.9,13500,10,40
1.24215,244,11.8,13500,10,45
1.787175,287,14.3,17000,10,50.4
1.787175,370,15.1,17000,10,56
1.787175,370,16.5,18000,10,61.5
1.787175,370,17.6,18000,10,68
1.787175,370,18.8,19000,10,73.5
1.2023505,255,5.2,11100,11.7,22.4
1.2023505,255,7.28,11100,11.7,28
1.603134,279,8.96,13000,11.8,33.5
1.603134,279,10.96,13000,11.8,40
1.603134,279,13.01,13700,11.8,45
1.603134,279,16.56,13700,11.8,50
1.36758,225,6.12,12000,8,25
1.36758,225,7.09,12000,8,28
1.36758,225,8.63,12000,10,33.5
1.823544,290,10.67,13980,12,40
1.823544,290,12.64,13980,12,45
2.2059,430,14.16,18780,16,50
2.2059,430,15.56,20820,16,56
2.2059,430,16.71,22020,16,61.5
1.367658,225,6.94,12000,8,28
1.367658,225,8.7,12000,10,33.5
1.823544,290,10.9,13980,12,40
1.823544,290,12.8,13980,12,45
1.823544,290,14.4,13980,12,50
2.2059,430,17,25800,16,56
2.2059,430,21,25800,16,67
2.2059,460,21.9,27000,20,73
2.2059,488,23.8,27000,22,78.5
2.2059,488,26.1,27000,22,85
2.2059,488,27.7,27000,22,90
1.367658,225,5.78,12000,8,25
1.367658,225,6.94,12000,8,28
1.367658,225,8.7,12000,10,33.5
1.823544,290,10.9,13980,12,40
1.823544,290,12.8,13980,12,45
1.823544,290,14.4,13980,12,50
2.2059,430,18.6,25800,16,61.5
2.2059,430,21,25800,16,67
2.79414,450,21.85,27000,18,73
2.79414,488,26.05,27000,22,85
2.79414,488,27.65,27000,22,90
1.64268,278,5.87,15000,10,25.4
1.64268,278,7,15000,10,28.9
1.64268,278,8.6,15000,10,34.8
1.64268,282,11.27,15000,10,41.5
1.990656,343,14.73,16200,10,51.5
1.990656,343,16.79,16200,10,57.8
1.990656,369,19.37,16200,10,63.7
1.990656,369,21.98,16200,10,70.4
0.302784,74,3.02,3500,2.6,9
0.456,120,4.5,6500,3.6,15
0.456,120,4.9,6500,4,15
0.456,120,6.33,6500,4,18
1.34244,240,5.27,11100,10,22.6
1.34244,240,7.36,11100,10,28
1.88484,360,10,14100,10,33.5
1.88484,360,11.4,14100,10,40
1.34244,240,6,11100,10,23.9
1.34244,240,7.6,11100,10,29.3
1.88484,368,9.2,14100,10,35.1
1.88484,368,12.2,14100,10,41.7
1.88484,368,14,14100,10,45
0.47101,108,2.99,7200,4,12.1
0.47101,108,3.51,7200,4,14
0.47101,108,4.31,7200,4,15.5
0.68712,149,6.46,10000,5.1,22.6
0.68712,149,8.75,10000,5.1,28
0.68712,149,10.16,10000,5.1,31.5
1.24215,224,6.24,11000,8.5,25.2
1.24215,224,7.37,11000,8.5,28
1.24215,224,9.31,12000,8.5,33.5
1.24215,244,11.94,13500,10,40
1.24215,244,13.24,13500,10,45
1.787175,287,15.7,17000,10,50.4
1.787175,370,16.62,17000,10,56
1.787175,370,18.3,18000,10,61.5
1.787175,370,21.94,18000,10,68
1.787175,370,24.75,18000,10,73.5
1.24215,246,5.63,12000,10,22.4
1.24215,246,7.67,12000,10,28
1.24215,257,9.57,13500,10,33.5
1.24215,257,12.31,13500,10,40
1.787175,366,14.06,17000,10,45
1.787175,366,16.13,17000,10,50
1.787175,375,17.23,19000,10,56
1.787175,375,20,19000,10,60
1.534272,268,6.4,11900,9,22.4
1.534272,276,8,11900,10.5,28
1.534272,276,9.8,11900,10.5,33.6
1.95,372,11.5,15300,12.5,39.2
1.95,379,13.2,17300,13,44.8
2.262,412,17.23,20900,14,56
2.262,412,18.95,20900,14,61.6
2.262,445,24,23450,17,78.4
0.5439,132,5.89,9000,6.3,22.4
0.5439,133,9,9600,6.6,28
1.41834,210,4.77,13440,5.6,22.4
1.41834,210,6.41,13440,5.6,28
2.17356,315,10.3,13920,8.3,40
2.17356,315,12.8,13920,8.3,45
2.83668,375,14.3,24300,9.5,50
2.83668,375,16.7,24300,9.5,56
2.17356,261,4.38,12600,6.8,22.4
2.17356,262,5.93,13200,6.8,28
2.17356,286,8.57,13920,8.3,33.5
2.17356,334,12.9,13920,8.3,45
1.3365,228,3.65,9000,4.2,14
1.3365,228,4.64,9000,4.2,16
1.38996,242,5.4,9900,6.7,22.4
1.38996,242,7.41,10500,6.7,28
1.38996,242,9.55,11600,9,33.5
1.69884,330,11.5,12000,9,40
1.69884,330,13.7,13000,9,45
1.22265,218,6.3,9700,7,25.2
1.22265,219,7.35,10600,7,28
1.72458,259,10.98,14000,14,40
1.72458,307,12.75,14700,14,45
1.72458,323,14.83,14700,16,50.4
1.72458,368,17.65,16500,16,56
2.16216,445,19.95,22000,19,68
2.16216,457,21.95,22000,19,73
2.16216,457,25.2,22000,19,78.5
1.262196,225,5.4,11000,9,25.2
1.262196,225,6.9,11000,9,28
1.262196,235,8.7,11500,10,33.5
1.777932,270,10.7,13500,13,40
1.777932,270,12.85,14000,13,45
1.777932,330,14.15,15500,14,50.4
1.777932,350,16.2,19000,14,56
1.777932,350,18.25,19000,16,61.5
2.144376,380,19.7,23000,19,68
2.144376,400,21.7,26000,22,73
2.144376,400,23.4,26000,22,78.5
3.13896,500,25.4,27000,25,85
3.13896,500,26.95,27000,25,90
3.13896,500,29.65,29000,28,95
3.13896,500,32.61,29000,28,100
1.166803598,71.4008648,4.69416296,4630,1.689287022,11.2
0.352859303,77.78260543,4.201922384,4469,4.73894244,14
0.894269844,115.4333401,6.326503749,7420,5.618500341,20
0.692026356,115.2996852,6.40493392,7423,7.189540382,22.4
0.414537932,114.0474207,7.590120538,8297,6.099108404,24
1.175486657,184.7108862,4.004470471,7274,5.403614371,16
1.116481745,186.3567971,4.85247385,10746,5.709042673,22.4
0.097175274,213.7368598,8.216336282,10674,9.222831005,28
0.268985053,215.6520721,7.431630968,11571,8.576890011,33.5
0.902959043,277.1902029,8.199905452,13165,10.04808843,40
1.422658237,275.1553621,11.24589399,13122,10.54518542,45
2.483308561,291.9168572,12.96703503,16182,12.44881614,50
2.13110762,291.878135,13.40814027,17853,12.33069082,56
0.896473632,185.1662329,5.128856104,7182,6.611079695,16
1.33756774,195.7132107,7.007721603,9955,6.95455744,28
0.304375794,195.7117258,7.496215042,10755,7.765451862,33.5
0.502253457,284.8308987,11.2092298,14072,10.01843065,40
1.398743714,285.8717504,12.52415712,14161,11.1954367,45
0.92585507,174.9348708,2.742144387,7201,4.965895887,16
1.14257107,176.6573424,5.934158938,10820,5.292081551,22.4
1.857146782,186.67855,8.059647768,10708,6.737478394,28
1.571911609,187.1569507,8.750074134,11564,4.920095159,33.5
1.413713778,215.8985193,11.85978964,15493,7.026433072,40
1.387241413,261.0971829,13.00645315,15527,8.135255688,45
1.160403692,259.5431738,13.91440904,15485,8.491606505,50
1.172514548,218.9645829,6.738326268,10862,8.697925799,25.2
1.514571193,235.6788675,10.68784312,10871,11.65182632,33.5
2.478457902,296.8432876,10.76727578,14074,14.42375331,40
2.784750461,298.5002249,12.47768207,14062,12.77232602,45
2.020242917,343.1641207,16.53489343,15534,13.2274153,56
1.404019352,340.3343324,19.16843667,15583,15.21372059,61.5
0.020695079,227.5500301,4.437811112,11095,10.14906768,25.2
3.447119317,227.7537259,5.982437473,11009,10.55549158,28
0.735763571,226.6249895,9.604967316,11081,11.84054363,33.5
1.99446476,277.1050883,10.74657585,13119,15.07881853,40
3.930099447,278.8615927,12.07186171,13197,11.28569103,45
1.454108404,346.6935615,11.16733205,17101,16.39922105,50
1.081542233,348.9893411,16.93743022,17173,16.79458119,56
3.214499366,347.7517018,18.68986413,17228,17.2966955,61.5
3.609929938,429.3979526,17.44847972,25074,22.50229302,67
3.199442173,429.3362409,21.20301939,25136,21.83396859,73
2.11386411,428.6879754,23.43196895,25091,21.30136519,78.5
3.695050237,474.6892069,27.10127868,24089,25.2961456,85
0.989134545,223.5381545,3.176055483,11528,5.218541689,22.4
2.902937631,224.6163184,8.140439423,11477,6.72529313,28
1.433193999,285.0558974,10.30902536,11484,6.879692006,33.5
2.88348358,360.6395569,9.602201529,14027,10.56046029,40
2.125831108,360.5135518,13.94838659,14139,10.90113517,45
0.469256762,359.6968355,14.80387167,22930,10.62714956,50.4
1.303070627,385.0380712,18.22075091,22765,13.18043012,56
0.897438769,385.9793633,17.75587244,25516,14.4649675,61.5
0.594545931,245.9402629,6.209621905,11006,5.375633299,22.4
0.117713087,245.033778,6.52830562,11055,4.79567042,28
0.44131884,290.6099956,6.222421771,12108,9.439766783,33.5
1.370546781,349.2045604,9.448029985,12154,8.433452076,40
0.419954678,376.378748,13.53411291,17887,12.39190365,50
2.317765737,401.6100271,14.57175094,21006,12.46721649,56
1.003790011,399.0249949,16.34924214,21126,9.45660312,61.5
3.353932446,578.9893204,14.26697704,24190,18.10170575,68
3.413374027,638.3627146,15.38493282,24181,18.71319577,72.5
2.673154963,697.8174715,16.89837972,24121,19.18901349,80
3.098223635,201.478685,1.744754233,10253,7.888255398,22.4
2.55351087,200.2121616,8.437094335,13296,6.99026817,33.6
1.760993812,233.38982,10.72191912,15394,8.733323143,40
2.074125706,265.8438259,13.19506744,15358,7.714438602,45
2.840054006,297.4100209,11.55636232,17524,9.351701841,50.4
1.961443837,298.6825994,12.98962858,17538,6.916320233,56
2.654858405,298.3977521,14.97942375,17483,6.55416562,61.6
0.953991331,360.8121057,16.34489271,18703,14.00626332,67.2
0.852586773,359.6824219,20.24797837,18703,12.85039207,72.8
1.341651586,186.3058316,4.612340694,10326,5.465428265,22.4
1.903295267,197.0934536,6.565653381,20277,5.903156416,28
1.247347157,211.1237242,6.855022074,13314,6.641451766,33.6
1.133525464,239.0520565,9.943836254,15380,7.624330188,40
1.459964784,270.8562685,13.02219079,15402,8.283864391,45
0.723034618,307.7184616,15.57257456,17499,8.970124131,61.6
1.316574772,359.9847614,15.58347115,18756,13.73703909,67.2
1.792173947,360.4480482,18.54564324,18650,15.26527216,72.8
2.040769597,198.278818,5.900179117,14493,7.314394711,22.4
0.482639866,216.2480155,5.26428145,14451,11.15256373,28
1.659491536,216.5412417,6.955500213,14493,9.976250094,33.6
2.094815832,235.336627,9.495074026,19303,12.58094656,39.2
0.249534879,237.9746911,9.712321162,19391,11.99418637,44.8
2.319879992,300.3160382,9.792226479,19295,17.22098178,50.4
1.934733326,300.5902931,11.89284734,19454,15.73930054,56
2.773978741,299.0028083,16.22455477,19319,13.70832515,61.6
1.634462128,310.0057905,17.04698563,19254,17.38594945,67.2
1.641846902,310.8260773,21.45601408,19353,18.97744256,72.8
0.319594602,190.849572,4.51601386,9961,3.706693163,22.4
1.083368349,189.0654649,5.15392225,10216,3.858334269,28
1.079455983,210.357562,8.929818542,11563,7.302187401,33.5
1.037166585,268.0967907,9.707069279,14482,7.991437079,40
2.844199473,312.6455395,10.85909199,15489,11.07385489,45
3.429197508,311.6591183,11.49922877,15437,8.723722375,50
1.893541302,349.4205511,13.91278814,19787,13.15244047,56
1.778127801,365.0818287,15.35935864,19851,11.87253527,61.5
3.424118889,362.5202379,16.98791341,20934,11.46927986,67
0.711310622,169.8991821,7.396669856,7353,3.791540036,22.4
0.29017321,169.8600957,9.265238981,9156,4.275474425,28
1.185094374,212.0956098,4.759179747,9379,7.29372477,22.4
0.43455833,209.1457717,9.098993763,10312,7.656857726,28
1.584383324,209.6969675,8.271479761,10517,7.359589775,33.5
1.538888937,294.9386133,16.52369464,11782,9.120847535,45
1.814080165,313.8865827,16.58156313,11704,10.85201659,50
2.110921076,209.6173894,4.217444396,9948,6.824249865,22.4
1.102329339,211.2249375,7.34392124,10234,4.809030669,28
0.030578395,231.592644,7.865912872,11490,7.61138676,33.5
0.653345463,333.8062441,13.52724996,15568,9.880379701,45
3.250353804,331.0805387,15.45470167,15361,11.3840347,50
0.92533038,381.8362265,19.58494884,19821,10.67719709,56
3.355856484,395.2644014,21.24280572,19850,9.717590145,61.5
0.655272878,223.2332244,7.251218767,11141,8.13978421,28
1.473016908,224.6055884,7.867785019,12097,8.523532053,33.5
2.091964938,244.3326527,10.21468749,13563,8.994876203,40
1.759097384,244.8966957,11.18786875,13666,9.92721605,45
0.642068658,287.8894566,13.43199138,17135,8.85131508,50.4
0.730314929,368.3952176,16.35180148,17164,10.4114286,56
1.839182551,370.1275986,16.09549007,18096,9.190264175,61.5
0.210652349,369.4556875,17.09175965,18117,10.24326827,68
2.950007346,371.9426106,18.92306303,19140,10.73170071,73.5
1.459813325,254.2190971,6.526512801,11169,11.44358772,22.4
0.196778599,252.6330859,5.347339528,11195,11.93042648,28
2.346368334,280.2737488,7.669654687,13115,11.18852417,33.5
1.579595711,279.7423292,9.995844174,13176,9.742961427,40
1.400682812,279.6431428,12.9562554,13757,11.63996799,45
2.00105503,277.3842698,15.71367093,13726,12.05528574,50
3.3576313,226.1605492,6.536031962,12013,6.214964895,25
0.366910102,225.8975081,8.327408955,12084,7.523767179,28
2.256179823,227.0525501,10.07390465,12045,9.20971873,33.5
0.618918646,291.4181507,12.35360748,14123,11.76517205,40
1.833082297,288.4640781,14.10103595,13942,12.15233777,45
1.080836705,430.447363,12.98509726,18847,15.7492527,50
1.869509261,428.8962492,13.61962441,20950,14.9807942,56
2.059430179,429.2179736,15.28157972,22180,17.53800838,61.5
1.924830716,225.3737373,9.798672108,12117,8.244303704,28
0.686940741,223.8909267,8.732599162,12088,10.06374698,33.5
1.932135977,290.5848254,11.98720267,14153,13.79514628,40
0.090976884,288.7595934,11.81230936,14062,12.98106164,45
0.251210103,289.5893619,14.23527853,14020,11.2096799,50
3.348446332,429.1408841,14.40321058,25891,16.87569663,56
2.12673389,428.8787439,20.41650233,25955,16.92005665,67
3.551247426,461.8550738,22.53818303,27080,19.78477756,73
2.413154816,487.3825484,24.99193782,27118,22.68674004,78.5
0.803196522,487.5819719,26.15993959,27114,23.42077536,85
2.634508437,488.7460395,28.06757507,27082,21.40049407,90
0.777938287,226.9767729,5.427576059,12045,6.303621761,25
0.330242184,225.8459483,6.67805983,12116,8.137426442,28
0.609834768,224.8534738,8.895012996,12097,11.59136315,33.5
2.470536182,289.8524757,10.69828313,13990,10.31317166,40
1.812679434,290.9471353,13.50166729,14159,11.997543,45
2.670521527,289.4305613,15.12410744,14087,13.07083249,50
0.90683493,429.918378,18.843839,25952,17.60296754,61.5
3.226188494,428.5503481,20.6087743,25894,16.08160627,67
3.294061012,451.5490959,22.51895704,27120,17.53442434,73
3.564350772,486.1613677,27.05093012,27223,21.70622971,85
3.612336168,489.0855005,28.2976323,27126,22.13865903,90
2.238496431,278.5615844,5.511527224,15060,10.47936538,25.4
2.998485289,277.0643372,8.132908683,15039,9.849602808,28.9
2.671029907,277.2999898,8.093834195,15108,7.909004856,34.8
1.432038129,281.959013,11.73571041,15063,10.11737011,41.5
1.860923478,343.2112194,13.85437252,16248,8.802234556,51.5
1.436913542,342.8218227,16.35508583,16275,11.2196627,57.8
1.567867501,368.9803402,19.60483227,16320,10.53233383,63.7
2.409407996,369.6922185,22.50719658,16248,9.360629772,70.4
0.403929392,73.83827859,3.266630013,3634,3.318953361,9
1.278939426,118.873191,3.381870409,6616,3.989071041,15
1.865238899,119.5771083,5.420014236,6597,2.882726896,15
0.153707012,120.3091556,6.157332708,6532,4.016899499,18
0.661634492,241.3580111,5.11318057,11213,8.907962061,22.6
3.265362787,238.3362398,5.594760461,11224,9.767677651,28
2.012458968,358.369855,9.854078494,14174,8.499523548,33.5
1.397530703,361.1889134,10.87080254,14091,9.815287758,40
0.015226745,240.1451887,5.776136994,11182,9.212728748,23.9
1.362335891,240.3723797,7.169617547,11263,8.986875871,29.3
0.397662389,365.9488837,8.704220268,14199,8.921754352,35.1
1.302914301,367.8225119,13.33441825,14177,10.56980537,41.7
1.964690071,367.1897668,12.94550057,14281,9.650699653,45
0.46616955,108.1039223,1.830650019,7266,3.943549962,12.1
1.669098752,107.6199683,3.300072699,7314,4.955306483,14
4.316688547,109.3085105,3.339164495,7276,3.926720076,15.5
1.140640496,150.7801937,6.30366865,10164,4.250172854,22.6
1.981850239,149.2485597,8.430582348,10132,5.196929213,28
1.711151762,148.5005692,9.507507741,10016,6.211075618,31.5
1.126366234,223.6928628,3.337119196,11122,9.90915271,25.2
1.855789059,224.208465,8.617298236,11105,7.675089391,28
1.139012268,224.0897042,9.890942065,12028,9.050629964,33.5
0.572270327,244.8530097,13.06300213,13520,10.60855278,40
1.748894657,244.4893865,13.41779011,13624,9.30202722,45
1.873746847,286.2440668,17.03296196,17092,8.368402911,50.4
2.740592013,371.8537234,16.65283771,17081,8.722212642,56
2.027698254,370.6764008,18.97419864,18134,8.096403999,61.5
0.8413094,369.04452,21.70139813,18138,10.51544855,68
1.404646173,370.2694122,26.11767499,18018,11.67863531,73.5
0.953704287,245.2660045,5.877411286,12119,9.126531993,22.4
1.316780298,245.5650582,7.297928921,12112,10.08123629,28
3.228490839,257.5475502,8.172185473,13572,9.583238322,33.5
0.259031575,256.4781651,10.97449598,13623,9.039519992,40
1.059633218,365.7643553,14.58775241,17122,8.944435554,45
2.258307356,365.4444631,15.64000867,17049,9.40598056,50
2.175756953,373.7623692,15.81082489,19060,10.36887922,56
0.370539588,375.4478774,19.43356722,19142,10.43476769,60
0.744282593,267.9817595,6.249668976,12048,8.757486845,22.4
3.120048575,275.2417579,8.069706488,11983,11.15599739,28
1.572141248,274.4875252,9.635421672,11921,10.47736128,33.6
1.594603962,370.4779453,12.0513799,15432,12.00161664,39.2
2.416619556,379.7413559,13.05898433,17381,13.2584414,44.8
1.792558538,411.9670306,16.45282346,21019,13.62407639,56
2.638337665,411.1435938,21.17481325,21053,12.46254359,61.6
0.269973965,444.3246722,22.68896476,23521,16.66888365,78.4
0.117598689,130.0542679,5.059164999,9098,7.61699113,22.4
0.369161104,133.4163653,9.055437125,9726,6.747975174,28
3.995926403,211.0787424,4.044726865,13586,5.370665673,22.4
1.057814013,211.0227748,6.130925622,13599,4.582316141,28
2.296392743,314.8258615,11.42605745,14104,8.08737297,40
3.006818762,315.9653326,13.4800258,13935,8.902098586,45
2.578068981,375.837214,13.1535811,24353,9.788411634,50
2.668068413,374.5069293,17.32040057,24436,9.401332295,56
3.745944211,261.2216675,4.077651513,12694,6.428504098,22.4
2.791290313,262.8240981,6.04104879,13239,6.95750198,28
2.532619321,287.521583,8.194768222,13905,8.820186165,33.5
2.232271177,333.7445823,12.66651267,14029,7.162089148,45
0.876980312,227.8166884,5.367758223,9049,3.963910134,14
0.567787426,226.7749192,3.478603542,9092,3.621656732,16
0.092211759,240.0718691,3.798232023,9985,7.282993775,22.4
0.082782528,241.9648055,8.011237209,10586,6.74425735,28
3.064140632,241.7859763,8.854660633,11737,9.482069185,33.5
1.708831534,329.8990067,11.87757719,12026,10.22965772,40
2.223074916,329.3172361,12.7915059,12986,9.637092494,45
1.072879064,219.4234401,5.694906471,9759,7.740919188,25.2
0.992998803,219.7861711,6.095235069,10628,7.072124313,28
0.519672986,257.2802945,9.963762756,14083,15.53542977,40
0.842668918,306.189749,11.8673777,14804,14.53573932,45
1.841583248,323.5452195,15.59463784,14751,17.20361806,50.4
3.067175243,367.5257831,17.27033629,16588,15.99974883,56
0.634788881,446.1365043,21.29367566,22118,19.90886861,68
2.239158566,456.6007387,20.54685253,22084,19.3766595,73
1.938251821,455.6651467,26.78592988,22044,18.19611413,78.5
0.400629143,225.1302661,5.384210066,10985,9.606886133,25.2
1.217026864,225.5066885,5.478450196,11109,8.392039464,28
2.2741814,233.626139,8.278240809,11703,11.42741185,33.5
3.19937259,269.7302487,12.04547156,13634,13.56961574,40
1.821340774,268.8380223,14.36841982,14160,10.32334241,45
1.716683124,331.3532461,14.14589992,15587,11.57435115,50.4
0.751764598,350.6566091,16.69402558,19087,14.57116691,56
2.138124899,349.2179386,18.77734157,19176,16.00405677,61.5
1.529054442,379.7279144,21.13671298,23040,19.98368396,68
1.216611965,399.5943501,19.81519897,26121,22.00864799,73
2.479644949,400.2494421,22.69684232,26139,21.76639483,78.5
2.634456916,499.8856939,26.62336496,27011,24.65787887,85
2.194397828,499.7930743,28.4169564,27102,23.17003458,90
5.056073355,500.9740792,29.17659158,29038,29.18212571,95
2.905593574,499.070949,34.31871751,29153,29.52229218,100
2.331308569,72.12272734,5.572645545,4744,3.540970576,11.2
0.106314913,75.52977634,5.002749109,4632,6.383300972,14
1.510169002,114.6713885,6.569622274,7488,5.786466033,20
0.507109176,114.7315694,6.979683134,7460,7.00804828,22.4
0.196999139,111.8716926,7.956019229,8427,7.032088186,24
1.331461451,185.7205943,3.417904585,7392,5.365598332,16
0.784150345,186.0738395,4.877783675,10881,6.127246999,22.4
0.37572699,214.2809344,9.014566871,10697,9.041004314,28
0.433120216,215.0418612,7.857158404,11695,8.645366057,33.5
3.173727184,277.0031952,7.161676178,13222,10.23959673,40
2.50373307,274.637364,10.76543125,13043,10.55751291,45
1.662668519,292.1178968,12.81411139,16246,11.25404723,50
2.252979951,292.2699778,13.88465619,17990,10.74013126,56
1.865527207,183.6316078,5.255609029,7262,7.035561028,16
0.627775027,195.5866844,5.678931774,10056,6.336847778,28
0.292520607,194.6375985,8.667778245,10862,6.500189669,33.5
0.697357399,285.6021512,11.27607771,14187,10.61760963,40
0.82395863,287.3879022,11.68002022,14296,9.639923393,45
2.006993442,175.8987322,2.598371995,7277,5.444638337,16
0.122622042,176.9459251,4.012900426,10876,6.200400861,22.4
1.661418961,185.3930727,8.781040998,10728,5.9995183,28
4.05256278,186.7819062,8.522577754,11630,6.176848278,33.5
1.377546131,216.2551252,10.97701492,15637,6.569582097,40
2.353233825,261.2089496,12.29992565,15646,10.38979977,45
0.552367819,259.6947972,13.37998999,15601,7.655417889,50
1.453357409,218.3667745,7.502074921,10874,7.362974206,25.2
2.490390313,236.0040137,9.502946499,11021,13.10458657,33.5
2.965193878,296.0745248,11.77486804,14176,13.41922374,40
3.106532091,298.6732706,13.63860507,14112,15.88324188,45
0.784372141,342.594461,15.93227059,15624,13.40942005,56
4.686738515,339.9349464,19.9504991,15784,16.22550299,61.5
0.4934494,229.4373946,3.979788933,11219,10.26438348,25.2
4.898500057,228.2435531,4.820571541,10989,11.42094631,28
0.699846487,226.4645643,8.554228779,11168,11.8778356,33.5
0.705828042,276.4446345,9.889444257,13277,14.89887517,40
4.060092874,278.593564,12.55253639,13267,9.612931006,45
1.072192363,345.5303608,9.500924482,17178,16.36317213,50
0.793749604,349.952091,18.54780564,17210,15.8489366,56
2.011344506,347.1848173,19.16651987,17348,17.1985831,61.5
2.483171394,429.5898249,18.84058956,25122,22.5296827,67
4.187039651,429.6616985,21.81098558,25289,20.25788982,73
2.223641203,428.912448,22.54308922,25203,22.78901638,78.5
4.756768659,474.2359594,25.72729983,24182,25.33652267,85
1.847407052,222.177659,3.85747183,11662,5.280074464,22.4
2.600202513,223.4382923,7.469452569,11588,5.598179325,28
1.572246609,286.2779833,10.73516153,11575,7.138871324,33.5
3.203290012,361.1546861,11.17605138,14106,10.57810335,40
